No.,x[mm],y[mm],z[mm],U[m/s],V[m/s],W[m/s],<u'2>[m2/s2],<v'2>[m2/s2],<w'2>[m2/s2],k[m2/s2]
92,400,0,150,0.798,0.453,-0.142,1.184,2.523,1.312,2.51
93,400,0,100,0.471,0.532,0.118,1.052,2.616,1.289,2.479
94,400,0,50,0.124,0.622,0.248,1.002,2.352,1.037,2.196
95,400,0,12.5,-0.139,0.704,0.243,0.927,1.98,0.448,1.678
96,400,0,5,-0.208,0.72,0.232,1.017,2.003,0.256,1.638
97,550,0,350,5.647,0.2,-0.006,0.626,0.54,0.258,0.712
98,550,0,300,4.964,0.25,-0.085,1.108,0.86,0.507,1.238
99,550,0,275,4.305,0.241,-0.152,1.616,1.046,0.642,1.652
100,550,0,250,3.86,0.299,-0.224,1.629,1.268,0.782,1.84
101,550,0,225,3.226,0.309,-0.221,1.695,1.435,0.959,2.045
102,550,0,210,2.988,0.417,-0.208,1.524,1.492,1.059,2.038
103,550,0,200,2.77,0.489,-0.263,1.48,1.65,1.098,2.114
104,550,0,175,2.42,0.52,-0.204,1.268,1.798,1.229,2.148
105,550,0,150,2.077,0.536,-0.182,1.125,1.952,1.195,2.136
106,550,0,100,1.67,0.564,0.016,0.942,2.074,1.068,2.042
107,550,0,50,1.394,0.659,0.068,0.77,1.921,0.881,1.786
108,550,0,12.5,1.05,0.664,0.15,0.689,1.606,0.415,1.355
109,550,0,5,1.003,0.687,0.171,0.656,1.663,0.262,1.291
110,-75,0,12.5,-0.983,0.066,-0.563,0.513,0.273,0.236,0.511
111,-75,-25,12.5,-0.869,0.534,-0.507,0.505,0.292,0.283,0.54
112,-75,-50,12.5,-0.778,1.036,-0.493,0.607,0.438,0.31,0.678
113,-75,-75.5,12.5,-0.486,1.689,-0.377,0.485,0.609,0.395,0.745
114,-75,-100,12.5,-0.024,2.214,-0.245,0.542,0.849,0.508,0.95
115,-75,-110,12.5,0.176,2.343,-0.178,0.454,0.965,0.469,0.944
