No.,WD (deg.),CB,x (m),y (m),z (m),Vs (m/s),,,,,,
93,0,1D,0.25,-0.15,0.02,1.48,1.21,,,,,
92,0,1D,0.25,-0.1,0.02,1.29,0.85,,,,,
91,0,1D,0.25,-0.05,0.02,1.11,1,,,,,
90,0,1D,0.25,0,0.02,1.03,1.09,,,,,
89,0,1D,0.25,0.05,0.02,1.02,0.93,,,,,
88,0,1D,0.25,0.1,0.02,1.11,0.76,,,,,
110,0,1D,0.25,0.15,0.02,1.62,1.44,,,,,
119,0,1D,0.25,0.2,0.02,1.65,2.58,,,,,
128,0,1D,0.25,0.25,0.02,1.69,1.68,,,,,
132,0,1D,0.25,0.3,0.02,1.4,0.93,,,,,
99,0,1D,0.3,-0.25,0.02,1.57,1.89,,,,,
98,0,1D,0.3,-0.2,0.02,1.63,2.49,,,,,
97,0,1D,0.3,-0.15,0.02,1.5,1.27,,,,,
111,0,1D,0.3,0.15,0.02,1.62,1.53,,,,,
120,0,1D,0.3,0.2,0.02,1.74,2.49,,,,,
129,0,1D,0.3,0.25,0.02,1.69,1.61,,,,,
63,0,2D,-0.3,-0.25,0.02,2.64,,,,,,
54,0,2D,-0.3,-0.2,0.02,2.32,,,,,,
45,0,2D,-0.3,-0.15,0.02,1.75,,,,,,
31,0,2D,-0.3,0.15,0.02,1.74,,,,,,
32,0,2D,-0.3,0.2,0.02,2.2,,,,,,
33,0,2D,-0.3,0.25,0.02,2.53,,,,,,
66,0,2D,-0.25,-0.3,0.02,2.37,,,,,,
62,0,2D,-0.25,-0.25,0.02,2.58,,,,,,
53,0,2D,-0.25,-0.2,0.02,2.15,,,,,,
44,0,2D,-0.25,-0.15,0.02,1.89,,,,,,
22,0,2D,-0.25,-0.1,0.02,2.17,,,,,,
23,0,2D,-0.25,-0.05,0.02,2.26,,,,,,
24,0,2D,-0.25,0,0.02,2.02,,,,,,
25,0,2D,-0.25,0.05,0.02,2.27,,,,,,
26,0,2D,-0.25,0.1,0.02,2.06,,,,,,
27,0,2D,-0.25,0.15,0.02,1.79,,,,,,
28,0,2D,-0.25,0.2,0.02,2.11,,,,,,
29,0,2D,-0.25,0.25,0.02,2.52,,,,,,
30,0,2D,-0.25,0.3,0.02,2.33,,,,,,
65,0,2D,-0.2,-0.3,0.02,2.31,,,,,,
61,0,2D,-0.2,-0.25,0.02,2.35,,,,,,
52,0,2D,-0.2,-0.2,0.02,2.14,,,,,,
43,0,2D,-0.2,-0.15,0.02,2.42,,,,,,
13,0,2D,-0.2,-0.1,0.02,2.77,,,,,,
14,0,2D,-0.2,-0.05,0.02,2.68,,,,,,
15,0,2D,-0.2,0,0.02,2.38,,,,,,
16,0,2D,-0.2,0.05,0.02,2.49,,,,,,
17,0,2D,-0.2,0.1,0.02,2.65,,,,,,
18,0,2D,-0.2,0.15,0.02,2.17,,,,,,
19,0,2D,-0.2,0.2,0.02,2.05,,,,,,
20,0,2D,-0.2,0.25,0.02,2.38,,,,,,
21,0,2D,-0.2,0.3,0.02,2.44,,,,,,
64,0,2D,-0.15,-0.3,0.02,1.82,,,,,,
60,0,2D,-0.15,-0.25,0.02,1.88,,,,,,
51,0,2D,-0.15,-0.2,0.02,1.84,,,,,,
42,0,2D,-0.15,-0.15,0.02,2.34,,,,,,
4,0,2D,-0.15,-0.1,0.02,2.82,,,,,,
5,0,2D,-0.15,-0.05,0.02,2.3,,,,,,
6,0,2D,-0.15,0,0.02,2.04,,,,,,
7,0,2D,-0.15,0.05,0.02,2.32,,,,,,
8,0,2D,-0.15,0.1,0.02,2.74,,,,,,
9,0,2D,-0.15,0.15,0.02,2.29,,,,,,
10,0,2D,-0.15,0.2,0.02,2,,,,,,
11,0,2D,-0.15,0.25,0.02,1.94,,,,,,
12,0,2D,-0.15,0.3,0.02,1.99,,,,,,
59,0,2D,-0.1,-0.25,0.02,1.61,,,,,,
50,0,2D,-0.1,-0.2,0.02,1.69,,,,,,
41,0,2D,-0.1,-0.15,0.02,2.12,,,,,,
103,0,2D,-0.1,0.15,0.02,2.23,,,,,,
112,0,2D,-0.1,0.2,0.02,1.58,,,,,,
121,0,2D,-0.1,0.25,0.02,1.48,,,,,,
58,0,2D,-0.05,-0.25,0.02,1.57,,,,,,
49,0,2D,-0.05,-0.2,0.02,1.67,,,,,,
40,0,2D,-0.05,-0.15,0.02,1.7,,,,,,
104,0,2D,-0.05,0.15,0.02,1.57,,,,,,
113,0,2D,-0.05,0.2,0.02,1.39,,,,,,
122,0,2D,-0.05,0.25,0.02,1.45,,,,,,
57,0,2D,0,-0.25,0.02,1.32,,,,,,
48,0,2D,0,-0.2,0.02,1.38,,,,,,
39,0,2D,0,-0.15,0.02,1.56,,,,,,
105,0,2D,0,0.15,0.02,1.59,,,,,,
114,0,2D,0,0.2,0.02,1.33,,,,,,
123,0,2D,0,0.25,0.02,1.29,,,,,,
56,0,2D,0.05,-0.25,0.02,1.22,,,,,,
47,0,2D,0.05,-0.2,0.02,1.38,,,,,,
38,0,2D,0.05,-0.15,0.02,1.62,,,,,,
106,0,2D,0.05,0.15,0.02,1.58,,,,,,
115,0,2D,0.05,0.2,0.02,1.49,,,,,,
124,0,2D,0.05,0.25,0.02,1.22,,,,,,
69,0,2D,0.1,-0.25,0.02,1.2,,,,,,
68,0,2D,0.1,-0.2,0.02,1.39,,,,,,
67,0,2D,0.1,-0.15,0.02,1.68,,,,,,
107,0,2D,0.1,0.15,0.02,1.55,,,,,,
116,0,2D,0.1,0.2,0.02,1.31,,,,,,
125,0,2D,0.1,0.25,0.02,1.24,,,,,,
78,0,2D,0.15,-0.3,0.02,1.07,,,,,,
77,0,2D,0.15,-0.25,0.02,1.26,,,,,,
76,0,2D,0.15,-0.2,0.02,1.47,,,,,,
75,0,2D,0.15,-0.15,0.02,1.68,,,,,,
74,0,2D,0.15,-0.1,0.02,1.59,,,,,,
73,0,2D,0.15,-0.05,0.02,1.05,,,,,,
72,0,2D,0.15,0,0.02,1.3,,,,,,
71,0,2D,0.15,0.05,0.02,0.99,,,,,,
70,0,2D,0.15,0.1,0.02,1.69,,,,,,
108,0,2D,0.15,0.15,0.02,1.6,,,,,,
117,0,2D,0.15,0.2,0.02,1.45,,,,,,
126,0,2D,0.15,0.25,0.02,1.18,,,,,,
130,0,2D,0.15,0.3,0.02,1.08,,,,,,
87,0,2D,0.2,-0.3,0.02,1.13,,,,,,
